2d6掷骰	能力起源
2-4	受训:英雄是技艺娴熟的个体,拥有的“能力”实际上都来自精湛的训练或专门的设备(请参阅特殊能力童节的装置部分)。额外获得两项专长,同时可以选择一项特殊能力作为交换,另外获得两项专长。
5、6	改造:英雄原本是正常人类,经由某些外部手段(通常是事故或试验)成为超人。选择一项能力(属性或特殊能力)增加2个等级,最高不超过10级。
7	天赋异禀:英雄与生俱来(或命中注定)拥有超越常人的特殊能力。额外选择一项--与生俱来,而非依靠装置的--特殊能力,或者选择一项能力增加2个等级,最高不超过10级,
8、9	花招诡计:角色的特殊能力完全依靠某种装置(请参阅特殊能力章节的装置部分)。选择一项精神属性增加2个等级,最高不超过10级。
10	人造生命:角色是机器人或其他类型的构装体(如魔像)。角色增加2个力量等级,除了掷骰获得的特殊能力,还会额外获得维系生命能力,正常掷骰决定维系生命的能力等级,或者舍弃一项掷骰获得的特殊能力,将维系生命升至10级。
11、12	天外来客: 角色是外星人、元素精灵、天使、魔鬼乃至神祇——来自另外一个世界或位面的生物。选择两项能力(属性或特殊能力)增加2个等级,或者根据起源列表进行两次掷骰,去掉重复的结果和11-12的结果,同时享有这两项起源的能力效果此时应该使用掷骰起源的调整值,而非天外来客的调整值。

2d6掷骰结果	等级
2	1
3	2
4	3
5、6	4
7、8	5
9、10	6
11	7
12	8

2d6掷骰结果	特殊能力数量
2-4	2
5-7	3
8-10	4
11-12	5

2d6 搠骰结果	特殊能力类型	下一环节
2、3	精神系	根据精神系特殊能力列表进行掷骰
4、5	控制系	根据控制系特殊能力列表进行掷骰
6	防御系	根据防御系特殊能力列表进行掷骰
7	攻击系	根据攻击系特殊能力列表进行掷骰
8	运动系	根据运动系特殊能力列表进行掷骰
9、10	变形系	根据变形系特殊能力列表进行掷骰
11、12	感官系	根据感官系特殊能力列表进行掷骰

D6掷骰结果	D6掷骰结果	能力
1-3	1	灵体投射
1-3	2	梦境控制
1-3	3、4	情感控制
1-3	5	制造幻觉
1-3	6	生成幻象
4-6	1、2	精神冲击波
4-6	3	精神控制
4-6	4	精神护盾
4-6	5、6	心灵感应

D6掷骰结果	D6掷骰结果	能力
1、2	1、2	变形射线
1、2	3、4	元素控制
1、2	5	概率控制
1、2	6	时间控制
3、4	1、2	能量控制
3、4	3	治疗
3、4	4、5	心灵感应
3、4	6	变形
5、6	1	宇宙力量
5、6	2、3	机关配件
5、6	4	魔法
5、6	5	能力清除
5、6	6	仆役

D6掷骰结果	D6掷骰结果	能力
1、2	1、2	凝神吸收
1、2	3	环境适应
1、2	4-6	力场
3、4	1	永生不朽
3、4	2-4	维系生命
3、4	5、6	反射攻击
5、6	1、2	再生
5、6	3-6	抵抗

D6掷骰结果	D6掷骰结果	能力
1-3	1	灾祸丛生
1-3	2	桎梏
1-3	3、4	冲击波
1-3	5、6	击打
4-6	1	光环
4-6	2、3	眼花缭乱
4-6	4	能量吸收
4-6	5	快速攻击
4-6	6	击晕

D6掷骰结果	D6掷骰结果	能力
1-3	1	挖掘洞穴
1-3	2	位面旅行
1-3	3、4	飞行
1-3	5、6	跳跃
4-6	1	高速旋转
4-6	2、3	超高速移动
4-6	4	摇荡
4-6	5	瞬间移动
4-6	6	墙面爬行

D6掷骰结果	D6掷骰结果	能力
1、2	1	能力增幅
1、2	2	能力提升
1、2	3	释放自我
1、2	4	变化形态
1、2	5	水下生存
1、2	6	浓缩密度
3、4	1	基因复制
3、4	2	三头六臂
3、4	3	拔地而起
3、4	4	隐身
3、4	5	穿越固体
3、4	6	微缩成寸
5、6	1	动物模仿
5、6	2	物质模仿
5、6	3	植物模仿
5、6	4	能力模仿
5、6	5	伸缩自如
5、6	6	元素转化

D6掷骰结果	D6掷骰结果	能力
1-3	1、2	察觉
1-3	3	超感知觉
1-3	4-6	超感官
4-6	1、2	危险感知
4-6	3	远程接入
4-6	4	追溯感知
4-6	5、6	预知未来

D6掷骰结果	D6掷骰结果	能力
1	1	空中战斗
1	2	艺术
1	3、4	运动技巧
1	5	商业
1	6	陆地驾驶
2	1、2	调查
2	3	法律
2	4、5	领导力
2	6	语言
3	1、2	武术
3	3	医学
3	4、5	精神抗性
3	6	军事
4	1	神秘学
4	2	表演
4	3	空中驾驶
4	4-6	特殊能力
5	1	精神病学
5	2、3	科学
5	4	快手
5	5、6	潜行
6	1、2	工艺
6	3	水下战斗
6	4、5	武器
6	6	格斗
